ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Albanian-1_all-1-1,Albanian-1_all-1,ɟ.i.θ,4,false,expert,Kessler2001,,,
English-1_all-1-1,English-1_all-1,ɔ.l,1,false,expert,Kessler2001,,,
French-1_all-1-1,French-1_all-1,t.u.t,2,false,expert,Kessler2001,,,
German-1_all-1-1,German-1_all-1,a.l,1,false,expert,Kessler2001,,,
Hawaiian-1_all-1-1,Hawaiian-1_all-1,a.p.a.u,7,false,expert,Kessler2001,,,
Latin-1_all-1-1,Latin-1_all-1,o.m.n.i,6,false,expert,Kessler2001,,,
Navajo-1_all-1-1,Navajo-1_all-1,ʔ.ay.ɬ.ʦ.o,5,false,expert,Kessler2001,,,
Turkish-1_all-1-1,Turkish-1_all-1,b.y.t.y.n,3,false,expert,Kessler2001,,,
Albanian-2_and-1-1,Albanian-2_and-1,e,916,false,expert,Kessler2001,,,
English-2_and-1-1,English-2_and-1,a.n.d,915,false,expert,Kessler2001,,,
French-2_and-1-1,French-2_and-1,e,916,false,expert,Kessler2001,,,
German-2_and-1-1,German-2_and-1,u.n.t,915,false,expert,Kessler2001,,,
Hawaiian-2_and-1-1,Hawaiian-2_and-1,aː,919,false,expert,Kessler2001,,,
Latin-2_and-1-1,Latin-2_and-1,e.t,916,false,expert,Kessler2001,,,
Navajo-2_and-1-1,Navajo-2_and-1,d.oː,918,false,expert,Kessler2001,,,
Turkish-2_and-1-1,Turkish-2_and-1,v.e,917,false,expert,Kessler2001,,,
Albanian-3_animal-1-1,Albanian-3_animal-1,k.a.f.ʃ,1018,false,expert,Kessler2001,,,
English-3_animal-1-1,English-3_animal-1,a.n.ə.m.ə.l,1016,false,expert,Kessler2001,,,
French-3_animal-1-1,French-3_animal-1,a.n.i.m.a.l,1016,false,expert,Kessler2001,,,
German-3_animal-1-1,German-3_animal-1,t.iː.r,1015,false,expert,Kessler2001,,,
Hawaiian-3_animal-1-1,Hawaiian-3_animal-1,h.o.l.o.h.o.l.o.n.a,1020,false,expert,Kessler2001,,,
Latin-3_animal-1-1,Latin-3_animal-1,a.n.i.m.aː.l,1016,false,expert,Kessler2001,,,
Navajo-3_animal-1-1,Navajo-3_animal-1,n.aː.l.d.eː.h.iː,1019,false,expert,Kessler2001,,,
Turkish-3_animal-1-1,Turkish-3_animal-1,h.a.j.v.a.n,1017,false,expert,Kessler2001,,,
Albanian-4_ashes-1-1,Albanian-4_ashes-1,h.i.r,274,false,expert,Kessler2001,,,
English-4_ashes-1-1,English-4_ashes-1,a.ʃ,271,false,expert,Kessler2001,,,
French-4_ashes-1-1,French-4_ashes-1,s.ɑ̃.d.r,272,false,expert,Kessler2001,,,
German-4_ashes-1-1,German-4_ashes-1,a.ʃ.ə,271,false,expert,Kessler2001,,,
Hawaiian-4_ashes-1-1,Hawaiian-4_ashes-1,l.e.h.u,276,false,expert,Kessler2001,,,
Latin-4_ashes-1-1,Latin-4_ashes-1,k.i.n.e.r,272,false,expert,Kessler2001,,,
Navajo-4_ashes-1-1,Navajo-4_ashes-1,ɬ.eː.ʃ.ʧˀ.i.h,275,false,expert,Kessler2001,,,
Turkish-4_ashes-1-1,Turkish-4_ashes-1,k.y.l,273,false,expert,Kessler2001,,,
Albanian-5_at-1-1,Albanian-5_at-1,n.ə,954,false,expert,Kessler2001,,,
English-5_at-1-1,English-5_at-1,a.t,952,false,expert,Kessler2001,,,
French-5_at-1-1,French-5_at-1,a,952,false,expert,Kessler2001,,,
German-5_at-1-1,German-5_at-1,a.n,951,false,expert,Kessler2001,,,
Hawaiian-5_at-1-1,Hawaiian-5_at-1,m.a,956,false,expert,Kessler2001,,,
