ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Albanian-1_all-1,,Albanian,1_all,gjithë,ɟ.i.θ,ɟ i θ,,Kessler2001,,false,^ ɟ . i . θ $,default
English-1_all-1,,English,1_all,all,ɔ.l,ɔ l,,Kessler2001,,false,^ ɔ . l $,default
French-1_all-1,,French,1_all,tous,t.u.t,t u t,,Kessler2001,,false,^ t . u . t $,default
German-1_all-1,,German,1_all,alle,a.l,a l,,Kessler2001,,false,^ a . l $,default
Hawaiian-1_all-1,,Hawaiian,1_all,apau,a.p.a.u,a p a u,,Kessler2001,,false,^ a . p . a . u $,default
Latin-1_all-1,,Latin,1_all,omnes,o.m.n.i,o m n i,,Kessler2001,,false,^ o . m . n . i $,default
Navajo-1_all-1,,Navajo,1_all,t'áá 'áƚtso,ʔ.ay.ɬ.ʦ.o,ʔ ay ɬ ts o,,Kessler2001,,false,^ ʔ . ay . ɬ . ʦ . o $,default
Turkish-1_all-1,,Turkish,1_all,bütün,b.y.t.y.n,b y t y n,,Kessler2001,,false,^ b . y . t . y . n $,default
Albanian-2_and-1,,Albanian,2_and,e,e,e,,Kessler2001,,true,^ e $,default
English-2_and-1,,English,2_and,and,a.n.d,a n d,,Kessler2001,,false,^ a . n . d $,default
French-2_and-1,,French,2_and,et,e,e,,Kessler2001,,false,^ e $,default
German-2_and-1,,German,2_and,und,u.n.t,u n t,,Kessler2001,,false,^ u . n . t $,default
Hawaiian-2_and-1,,Hawaiian,2_and,ā,aː,aː,,Kessler2001,,false,^ aː $,default
Latin-2_and-1,,Latin,2_and,et,e.t,e t,,Kessler2001,,false,^ e . t $,default
Navajo-2_and-1,,Navajo,2_and,dóó,d.oː,d oː,,Kessler2001,,false,^ d . oː $,default
Turkish-2_and-1,,Turkish,2_and,ve,v.e,v e,,Kessler2001,,true,^ v . e $,default
Albanian-3_animal-1,,Albanian,3_animal,kafshë,k.a.f.ʃ,k a f ʃ,,Kessler2001,,true,^ k . a . f . ʃ $,default
English-3_animal-1,,English,3_animal,animal,a.n.ə.m.ə.l,a n ə m ə l,,Kessler2001,,true,^ a . n . ə . m . ə . l $,default
French-3_animal-1,,French,3_animal,animal,a.n.i.m.a.l,a n i m a l,,Kessler2001,,true,^ a . n . i . m . a . l $,default
German-3_animal-1,,German,3_animal,Tier,t.iː.r,t iː r,,Kessler2001,,false,^ t . iː . r $,default
Hawaiian-3_animal-1,,Hawaiian,3_animal,holoholona,h.o.l.o.h.o.l.o.n.a,h o l o h o l o n a,,Kessler2001,,false,^ h . o . l . o . h . o . l . o . n . a $,default
Latin-3_animal-1,,Latin,3_animal,animal,a.n.i.m.aː.l,a n i m aː l,,Kessler2001,,false,^ a . n . i . m . aː . l $,default
Navajo-3_animal-1,,Navajo,3_animal,naaldeehii,n.aː.l.d.eː.h.iː,n aː l d eː h iː,,Kessler2001,,false,^ n . aː . l . d . eː . h . iː $,default
Turkish-3_animal-1,,Turkish,3_animal,hayvan,h.a.j.v.a.n,h a j v a n,,Kessler2001,,true,^ h . a . j . v . a . n $,default
Albanian-4_ashes-1,,Albanian,4_ashes,hi,h.i.r,h i r,,Kessler2001,,false,^ h . i . r $,default
English-4_ashes-1,,English,4_ashes,ashes,a.ʃ,a ʃ,,Kessler2001,,false,^ a . ʃ $,default
French-4_ashes-1,,French,4_ashes,cendre,s.ɑ̃.d.r,s ɑ̃ d r,,Kessler2001,,false,^ s . ɑ̃ . d . r $,default
German-4_ashes-1,,German,4_ashes,Asche,a.ʃ.ə,a ʃ ə,,Kessler2001,,false,^ a . ʃ . ə $,default
Hawaiian-4_ashes-1,,Hawaiian,4_ashes,lehu,l.e.h.u,l e h u,,Kessler2001,,false,^ l . e . h . u $,default
Latin-4_ashes-1,,Latin,4_ashes,cinis,k.i.n.e.r,k i n e r,,Kessler2001,,false,^ k . i . n . e . r $,default
Navajo-4_ashes-1,,Navajo,4_ashes,ƚeeshch'ih,ɬ.eː.ʃ.ʧˀ.i.h,ɬ eː ʃ tʃˀ i h,,Kessler2001,,false,^ ɬ . eː . ʃ . ʧˀ . i . h $,default
Turkish-4_ashes-1,,Turkish,4_ashes,kül,k.y.l,k y l,,Kessler2001,,false,^ k . y . l $,default
Albanian-5_at-1,,Albanian,5_at,në,n.ə,n ə,,Kessler2001,,false,^ n . ə $,default
English-5_at-1,,English,5_at,at,a.t,a t,,Kessler2001,,false,^ a . t $,default
French-5_at-1,,French,5_at,à,a,a,,Kessler2001,,false,^ a $,default
German-5_at-1,,German,5_at,an,a.n,a n,,Kessler2001,,false,^ a . n $,default
Hawaiian-5_at-1,,Hawaiian,5_at,ma,m.a,m a,,Kessler2001,,false,^ m . a $,default
Latin-5_at-1,,Latin,5_at,ad,a.d,a d,,Kessler2001,,false,^ a . d $,default
Navajo-5_at-1,,Navajo,5_at,-di,d.i,d i,,Kessler2001,,false,^ d . i $,default
Turkish-5_at-1,,Turkish,5_at,-de,d.e,d e,,Kessler2001,,false,^ d . e $,default
Albanian-6_back-1,,Albanian,6_back,shpinë,ʃ.p.i.n,ʃ p i n,,Kessler2001,,true,^ ʃ . p . i . n $,default
English-6_back-1,,English,6_back,back,b.a.k,b a k,,Kessler2001,,false,^ b . a . k $,default
French-6_back-1,,French,6_back,dos,d.o,d o,,Kessler2001,,false,^ d . o $,default
German-6_back-1,,German,6_back,Rücken,r.y.k.ə.n,r y k ə n,,Kessler2001,,false,^ r . y . k . ə . n $,default
Hawaiian-6_back-1,,Hawaiian,6_back,kua,k.u.a,k u a,,Kessler2001,,false,^ k . u . a $,default
Latin-6_back-1,,Latin,6_back,tergum,t.e.r.g.o,t e r g o,,Kessler2001,,false,^ t . e . r . g . o $,default
Navajo-6_back-1,,Navajo,6_back,'anághah,n.ay.ɣ.a.h,n ay ɣ a h,,Kessler2001,,false,^ n . ay . ɣ . a . h $,default
Turkish-6_back-1,,Turkish,6_back,arka,a.r.k.a,a r k a,,Kessler2001,,false,^ a . r . k . a $,default
Albanian-7_bad-1,,Albanian,7_bad,keq,k.e.c,k e c,,Kessler2001,,true,^ k . e . c $,default
English-7_bad-1,,English,7_bad,bad,b.a.d,b a d,,Kessler2001,,false,^ b . a . d $,default
French-7_bad-1,,French,7_bad,mauvais,m.ɔ.v.ɛ.z,m ɔ v ɛ z,,Kessler2001,,false,^ m . ɔ . v . ɛ . z $,default
German-7_bad-1,,German,7_bad,schlecht,ʃ.l.e.x.t,ʃ l e x t,,Kessler2001,,false,^ ʃ . l . e . x . t $,default
Hawaiian-7_bad-1,,Hawaiian,7_bad,`ino,ʔ.i.n.o,ʔ i n o,,Kessler2001,,false,^ ʔ . i . n . o $,default
Latin-7_bad-1,,Latin,7_bad,malus,m.a.l.o,m a l o,,Kessler2001,,false,^ m . a . l . o $,default
Navajo-7_bad-1,,Navajo,7_bad,doo yá'áshǫ́ǫ da,j.ay.ʔ.ay.ʃ.õ.õ,j ay ʔ ay ʃ õ õ,,Kessler2001,,false,^ j . ay . ʔ . ay . ʃ . õ . õ $,default
Turkish-7_bad-1,,Turkish,7_bad,kötü,k.ø.t.y,k ø t y,,Kessler2001,,true,^ k . ø . t . y $,default
Albanian-8_bark-1,,Albanian,8_bark,shkëlbozë,ʃ.k.ə.l.b.o.z,ʃ k ə l b o z,,Kessler2001,,false,^ ʃ . k . ə . l . b . o . z $,default
English-8_bark-1,,English,8_bark,bark,b.ɑ.r.k,b ɑ r k,,Kessler2001,,true,^ b . ɑ . r . k $,default
French-8_bark-1,,French,8_bark,écorce,e.k.ɔ.r.s,e k ɔ r s,,Kessler2001,,false,^ e . k . ɔ . r . s $,default
German-8_bark-1,,German,8_bark,Rinde,r.i.n.d.ə,r i n d ə,,Kessler2001,,false,^ r . i . n . d . ə $,default
Hawaiian-8_bark-1,,Hawaiian,8_bark,`ili,ʔ.i.l.i,ʔ i l i,,Kessler2001,,false,^ ʔ . i . l . i $,default
Latin-8_bark-1,,Latin,8_bark,cortex,k.o.r.t.i.k,k o r t i k,,Kessler2001,,false,^ k . o . r . t . i . k $,default
Navajo-8_bark-1,,Navajo,8_bark,'akásht'óózh,k.ay.ʃ.tˀ.oː.ʒ,k ay ʃ tˀ oː ʒ,,Kessler2001,,false,^ k . ay . ʃ . tˀ . oː . ʒ $,default
Turkish-8_bark-1,,Turkish,8_bark,kabuk,k.a.b.u.k,k a b u k,,Kessler2001,,false,^ k . a . b . u . k $,default
Albanian-9_because-1,,Albanian,9_because,sepse,s.e.p.s.e,s e p s e,,Kessler2001,,false,^ s . e . p . s . e $,default
English-9_because-1,,English,9_because,because,b.ə.k.ɔ.z,b ə k ɔ z,,Kessler2001,,true,^ b . ə . k . ɔ . z $,default
French-9_because-1,,French,9_because,parce que,p.a.r.s,p a r s,,Kessler2001,,false,^ p . a . r . s $,default
