ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_all,all,98,ALL,1
2_and,and,1577,AND,2
3_animal,animal,619,ANIMAL,3
4_ashes,ashes,646,ASH,4
5_at,at,1461,AT,5
6_back,back,1291,BACK,6
7_bad,bad,1292,BAD,7
8_bark,bark,1204,BARK,8
9_because,because,1157,BECAUSE,9
10_belly,belly,1251,BELLY,10
11_big,big,1202,BIG,11
12_bird,bird,937,BIRD,12
13_bite,bite,1403,BITE,13
14_black,black,163,BLACK,14
15_blood,blood,946,BLOOD,15
16_blow,blow,175,BLOW (OF WIND),16
17_bone,bone,1394,BONE,17
18_breast,breast,1402,BREAST,18
19_breathe,breathe,1407,BREATHE,19
20_burn,burn,2102,BURN,20
21_child,child,2099,CHILD,21
22_claw,claw,72,CLAW,22
23_cloud,cloud,1489,CLOUD,23
24_cold,cold,2483,COLD (OF WEATHER),24
25_come,come,1446,COME,25
26_count,count,1420,COUNT,26
27_cut,cut,1432,CUT,27
28_day,day,1225,DAY (NOT NIGHT),28
29_die,die,1494,DIE,29
30_dig,dig,1418,DIG,30
31_dirty,dirty,1230,DIRTY,31
32_dog,dog,2009,DOG,32
33_drink,drink,1401,DRINK,33
34_dry,dry,1398,DRY,34
35_dull,dull,379,BLUNT,35
36_dust,dust,2,DUST,36
37_ear,ear,1247,EAR,37
38_earth,earth,1228,EARTH (SOIL),38
39_eat,eat,1336,EAT,39
40_egg,egg,744,EGG,40
41_eye,eye,1248,EYE,41
42_fall,fall,1280,FALL,42
43_far,far,1406,FAR,43
44_father,father,1217,FATHER,44
45_feather,feather,1201,FEATHER,45
46_few,few,1242,FEW,46
47_fight,fight,1423,FIGHT,47
48_fire,fire,221,FIRE,48
49_fish,fish,227,FISH,49
50_five,five,493,FIVE,50
51_flow,flow,2003,FLOW,51
52_flower,flower,239,FLOWER,52
53_fly,fly,1441,FLY (MOVE THROUGH AIR),53
54_fog,fog,249,FOG,54
55_foot,foot,1301,FOOT,55
56_four,four,1500,FOUR,56
57_freeze,freeze,1431,FREEZE,57
58_fruit,fruit,1507,FRUIT,58
59_full,full,1429,FULL,59
60_give,give,1447,GIVE,60
61_go,go,695,GO,61
62_good,good,1035,GOOD,62
63_grass,grass,606,GRASS,63
64_grease,grease,323,FAT (ORGANIC SUBSTANCE),64
65_green,green,1425,GREEN,65
66_guts,guts,1334,GUTS,66
67_hair,hair,1040,HAIR,67
68_hand,hand,1277,HAND,68
69_he,he,1211,HE,69
70_head,head,1256,HEAD,70
71_hear,hear,1408,HEAR,71
72_heart,heart,1223,HEART,72
73_heavy,heavy,1210,HEAVY,73
74_here,here,136,HERE,74
75_hit,hit,1433,HIT,75
76_hold,hold,1448,HOLD,76
77_horn,horn,1393,HORN (ANATOMY),77
78_hot,hot,1286,HOT,78
79_human,human,683,PERSON,79
80_hunt,hunt,1435,HUNT,80
81_husband,husband,1200,HUSBAND,81
82_i,I,1209,I,82
83_ice,ice,617,ICE,83
84_if,if,1459,IF,84
85_in,in,1460,IN,85
86_kill,kill,1417,KILL,86
87_knee,knee,1371,KNEE,87
88_knife,knife,1352,KNIFE,88
89_know,know,3626,KNOW,89
90_lake,lake,624,LAKE,90
91_laugh,laugh,1355,LAUGH,91
92_leaf,leaf,628,LEAF,92
93_left,left,244,LEFT,93
94_lie,lie,1411,LIE (REST),94
95_liver,liver,1224,LIVER,95
96_long,long,1203,LONG,96
97_louse,louse,1392,LOUSE,97
98_man,man,1554,MAN,98
99_many,many,1198,MANY,99
100_meat,meat,634,MEAT,100
101_moon,moon,1313,MOON,101
102_mother,mother,1216,MOTHER,102
103_mountain,mountain,639,MOUNTAIN,103
104_mouth,mouth,674,MOUTH,104
105_name,name,1405,NAME,105
106_narrow,narrow,1267,NARROW,106
107_near,near,1942,NEAR,107
108_neck,neck,1333,NECK,108
109_new,new,1231,NEW,109
110_night,night,1233,NIGHT,110
111_nose,nose,1221,NOSE,111
112_not,not,1240,NOT,112
113_now,now,1376,NOW,113
114_old,old,1229,OLD,114
115_one,one,1493,ONE,115
116_other,other,197,OTHER,116
117_path,path,2252,PATH,117
118_play,play,1413,PLAY,118
119_pull,pull,1455,PULL,119
120_push,push,1452,PUSH,120
121_rain,rain,658,RAIN (PRECIPITATION),121
122_red,red,156,RED,122
123_right,right,1019,RIGHT,123
