Grapheme	IPA	Frequency	
.	NULL		
a	a	473
i	i	412
n	n	355
r	r	354
e	e	333
k	k	303
l	l	296
o	o	274
t	t	266
u	u	231
d	d	211
s	s	181
m	m	176
h	h	167
ʔ	ʔ	148
ə	ə	125
b	b	124
ʃ	ʃ	115
p	p	113
g	g	101
aː	aː	100
f	f	100
j	j	99
w	w	83
eː	eː	73
iː	iː	71
v	v	71
z	z	68
y	y	56
ɛ	ɛ	50
ai	ai	38
oː	oː	37
ay	ay	36
ɬ	ɬ	36
ʦ	ts	31
ɪ	ɪ	28
ɑ̃	ɑ̃	27
uː	uː	26
ʧ	tʃ	25
ɔ	ɔ	24
ɣ	ɣ	24
ɯ	ɯ	24
ʒ	ʒ	24
au	au	23
ð	ð	20
θ	θ	20
ø	ø	19
x	x	14
ŋ	ŋ	14
ɑ	ɑ	14
ɟ	ɟ	13
ʤ	dʒ	12
c	c	11
tˀ	tˀ	11
ł	ł	10
kw	kʷ	9
rː	rː	9
ɔ̃	ɔ̃	9
ɛ̃	ɛ̃	9
kˀ	kˀ	7
tˡˀ	tˡˀ	7
ã́	ã́/ã	7
ɲ	ɲ	7
ʊ	ʊ	7
ʧˀ	tʃˀ	7
œ	œ	6
ʣ	dz	6
ɥ	ɥ	5
p͡f	pf	4
õ	õ	4
ĩ́	ĩ́/ĩ	4
ʦˀ	tsˀ	4
dˡ	dˡ	3
gw	gʷ	3
lː	lː	3
tˡ	tˡ	3
ã	ã	3
ãː	ãː	3
nː	nː	2
oi	oi	2
yː	yː	2
õː	õː	2
øː	øː	2
ĩː	ĩː	2
ĩ́ː	ĩ́ː/ĩ	2
ń	ń/ɲ	2
ae	ae	1
kː	kː	1
mː	mː	1
sː	sː	1
tː	tː	1
ã́ː	ã́ː	1
ĩ	ĩ	1
œ̃	œ̃	1
ɪi	ɪi	1
ʎ	ʎ	1
ẽː	ẽː	1
