#KSL
ID	Taxon	Gloss	GlossID	Orthography	IPA	Tokens	CogID
#
1	Albanian	all	1	gjithë	ɟiθ	ɟ i θ	4
2	English	all	1	all	ɔl	ɔ l	1
3	French	all	1	tous	tut	t u t	2
4	German	all	1	alle	al	a l	1
5	Hawaiian	all	1	apau	apau	a p a u	7
6	Latin	all	1	omnes	omni	o m n i	6
7	Navajo	all	1	t'áá 'áƚtso	ʔayɬʦo	ʔ ay ɬ ʦ o	5
8	Turkish	all	1	bütün	bytyn	b y t y n	3
#
9	Albanian	and	2	e	e	e	-916
10	English	and	2	and	and	a n d	915
11	French	and	2	et	e	e	916
12	German	and	2	und	unt	u n t	915
13	Hawaiian	and	2	ā	aː	aː	919
14	Latin	and	2	et	et	e t	916
15	Navajo	and	2	dóó	doː	d oː	918
16	Turkish	and	2	ve	ve	v e	-917
#
17	Albanian	animal	3	kafshë	kafʃ	k a f ʃ	-1018
18	English	animal	3	animal	anəməl	a n ə m ə l	-1016
19	French	animal	3	animal	animal	a n i m a l	-1016
20	German	animal	3	Tier	tiːr	t iː r	1015
21	Hawaiian	animal	3	holoholona	holoholona	h o l o h o l o n a	1020
22	Latin	animal	3	animal	animaːl	a n i m aː l	1016
23	Navajo	animal	3	naaldeehii	naːldeːhiː	n aː l d eː h iː	1019
24	Turkish	animal	3	hayvan	hajvan	h a j v a n	-1017
#
25	Albanian	ashes	4	hi	hir	h i r	274
26	English	ashes	4	ashes	aʃ	a ʃ	271
27	French	ashes	4	cendre	sɑ̃dr	s ɑ̃ d r	272
28	German	ashes	4	Asche	aʃə	a ʃ ə	271
29	Hawaiian	ashes	4	lehu	lehu	l e h u	276
30	Latin	ashes	4	cinis	kiner	k i n e r	272
31	Navajo	ashes	4	ƚeeshch'ih	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	275
32	Turkish	ashes	4	kül	kyl	k y l	273
#
33	Albanian	at	5	në	nə	n ə	954
34	English	at	5	at	at	a t	952
35	French	at	5	à	a	a	952
36	German	at	5	an	an	a n	951
37	Hawaiian	at	5	ma	ma	m a	956
38	Latin	at	5	ad	ad	a d	952
39	Navajo	at	5	-di	di	d i	955
40	Turkish	at	5	-de	de	d e	953
#
41	Albanian	back	6	shpinë	ʃpin	ʃ p i n	-369
42	English	back	6	back	bak	b a k	367
43	French	back	6	dos	do	d o	366
